"Région","Département","ISO (Département)"
"Alsace","Bas-Rhin","FR.BR"
"Alsace","Haut-Rhin","FR.HR"
"Aquitaine","Dordogne","FR.DD"
"Aquitaine","Gironde","FR.GI"
"Aquitaine","Landes","FR.LD"
"Aquitaine","Lot-Et-Garonne","FR.LG"
"Aquitaine","Pyrénées-Atlantiques","FR.PA"
"Auvergne","Allier","FR.AL"
"Auvergne","Cantal","FR.CL"
"Auvergne","Haute-Loire","FR.HL"
"Auvergne","Puy-De-Dôme","FR.PD"
"Basse-Normandie","Calvados","FR.CV"
"Basse-Normandie","Manche","FR.MH"
"Basse-Normandie","Orne","FR.OR"
"Bourgogne","Côte-d'Or","FR.CO"
"Bourgogne","Nièvre","FR.NI"
"Bourgogne","Saône-et-Loire","FR.SL"
"Bourgogne","Yonne","FR.YO"
"Bretagne","Côtes-d'Armor","FR.CA"
"Bretagne","Finistère","FR.FI"
"Bretagne","Ille-Et-Vilaine","FR.IV"
"Bretagne","Morbihan","FR.MB"
"Centre","Cher","FR.CH"
"Centre","Eure-Et-Loir","FR.EL"
"Centre","Indre","FR.IN"
"Centre","Indre-Et-Loire","FR.IL"
"Centre","Loiret","FR.LT"
"Centre","Loir-Et-Cher","FR.LC"
"Champagne-Ardenne","Ardennes","FR.AN"
"Champagne-Ardenne","Aube","FR.AB"
"Champagne-Ardenne","Haute-Marne","FR.HM"
"Champagne-Ardenne","Marne","FR.MR"
"Corse","Corse-Du-Sud","FR.CS"
"Corse","Haute-Corse","FR.HC"
"Franche-Comté","Doubs","FR.DB"
"Franche-Comté","Haute-Saône","FR.HN"
"Franche-Comté","Jura","FR.JU"
"Franche-Comté","Territoire de Belfort","FR.TB"
"Haute-Normandie","Eure","FR.EU"
"Haute-Normandie","Seine-Maritime","FR.SM"
"Île-de-France","Essonne","FR.ES"
"Île-de-France","Hauts-De-Seine","FR.HD"
"Île-de-France","Seine-Et-Marne","FR.SE"
"Île-de-France","Seine-Saint-Denis","FR.SS"
"Île-de-France","Val-De-Marne","FR.VM"
"Île-de-France","Val-D'Oise","FR.VO"
"Île-de-France","Ville de Paris","FR.VP"
"Île-de-France","Yvelines","FR.YV"
"Languedoc-Roussillon","Aude","FR.AD"
"Languedoc-Roussillon","Gard","FR.GA"
"Languedoc-Roussillon","Hérault","FR.HE"
"Languedoc-Roussillon","Lozère","FR.LZ"
"Languedoc-Roussillon","Pyrénées-Orientales","FR.PO"
"Limousin","Corrèze","FR.CZ"
"Limousin","Creuse","FR.CR"
"Limousin","Haute-Vienne","FR.HV"
"Lorraine","Meurthe-Et-Moselle","FR.MM"
"Lorraine","Meuse","FR.MS"
"Lorraine","Moselle","FR.MO"
"Lorraine","Vosges","FR.VG"
"Midi-Pyrénées","Ariège","FR.AG"
"Midi-Pyrénées","Aveyron","FR.AV"
"Midi-Pyrénées","Gers","FR.GE"
"Midi-Pyrénées","Haute-Garonne","FR.HG"
"Midi-Pyrénées","Hautes-Pyrénées","FR.HP"
"Midi-Pyrénées","Lot","FR.LO"
"Midi-Pyrénées","Tarn","FR.TA"
"Midi-Pyrénées","Tarn-Et-Garonne","FR.TG"
"Nord-Pas-de-Calais","Nord","FR.NO"
"Nord-Pas-de-Calais","Pas-De-Calais","FR.PC"
"Pays de la Loire","Loire-Atlantique","FR.LA"
"Pays de la Loire","Maine-Et-Loire","FR.ML"
"Pays de la Loire","Mayenne","FR.MY"
"Pays de la Loire","Sarthe","FR.ST"
"Pays de la Loire","Vendée","FR.VD"
"Picardie","Aisne","FR.AS"
"Picardie","Oise","FR.OI"
"Picardie","Somme","FR.SO"
"Poitou-Charentes","Charente","FR.CT"
"Poitou-Charentes","Charente-Maritime","FR.CM"
"Poitou-Charentes","Deux-Sèvres","FR.DS"
"Poitou-Charentes","Vienne","FR.VN"
"Provence-Alpes-Côte-d'Azur","Alpes-De-Haute-Provence","FR.AP"
"Provence-Alpes-Côte-d'Azur","Alpes-Maritimes","FR.AM"
"Provence-Alpes-Côte-d'Azur","Bouches-Du-Rhône","FR.BD"
"Provence-Alpes-Côte-d'Azur","Hautes-Alpes","FR.HA"
"Provence-Alpes-Côte-d'Azur","Var","FR.VR"
"Provence-Alpes-Côte-d'Azur","Vaucluse","FR.VC"
"Rhône-Alpes","Ain","FR.AI"
"Rhône-Alpes","Ardèche","FR.AH"
"Rhône-Alpes","Drôme","FR.DM"
"Rhône-Alpes","Haute-Savoie","FR.HS"
"Rhône-Alpes","Isère","FR.IS"
"Rhône-Alpes","Loire","FR.LR"
"Rhône-Alpes","Rhône","FR.RH"
"Rhône-Alpes","Savoie","FR.SV"
